Tabela,Data,Kurs średni,Zmiana
125/A/NBP/2012,2012-06-29,3.3885,-1.52
124/A/NBP/2012,2012-06-28,3.4408,1.16
123/A/NBP/2012,2012-06-27,3.4015,-0.21
122/A/NBP/2012,2012-06-26,3.4088,-0.05
121/A/NBP/2012,2012-06-25,3.4105,0.24
120/A/NBP/2012,2012-06-22,3.4025,1.21
119/A/NBP/2012,2012-06-21,3.3617,0.44
118/A/NBP/2012,2012-06-20,3.3471,-1.31
117/A/NBP/2012,2012-06-19,3.3916,0.52
116/A/NBP/2012,2012-06-18,3.3741,-0.68
115/A/NBP/2012,2012-06-15,3.3971,-1.3
114/A/NBP/2012,2012-06-14,3.442,-0.49
113/A/NBP/2012,2012-06-13,3.4591,0.11
112/A/NBP/2012,2012-06-12,3.4552,1.41
111/A/NBP/2012,2012-06-11,3.4072,-1.43
110/A/NBP/2012,2012-06-08,3.4566,-0.39
109/A/NBP/2012,2012-06-06,3.4703,-1.86
108/A/NBP/2012,2012-06-05,3.5359,-0.2
107/A/NBP/2012,2012-06-04,3.5431,-0.97
106/A/NBP/2012,2012-06-01,3.5777,1.14
105/A/NBP/2012,2012-05-31,3.5372,0.66
104/A/NBP/2012,2012-05-30,3.5139,1.34
103/A/NBP/2012,2012-05-29,3.4675,0.41
102/A/NBP/2012,2012-05-28,3.4535,-0.16
101/A/NBP/2012,2012-05-25,3.4589,-0.55
100/A/NBP/2012,2012-05-24,3.4779,0.93
99/A/NBP/2012,2012-05-23,3.446,1.92
98/A/NBP/2012,2012-05-22,3.3811,-0.34
97/A/NBP/2012,2012-05-21,3.3928,-1.46
96/A/NBP/2012,2012-05-18,3.4431,0.69
95/A/NBP/2012,2012-05-17,3.4194,-0.46
94/A/NBP/2012,2012-05-16,3.4353,2.31
93/A/NBP/2012,2012-05-15,3.3579,0.47
92/A/NBP/2012,2012-05-14,3.3422,2.01
91/A/NBP/2012,2012-05-11,3.2765,0.09
90/A/NBP/2012,2012-05-10,3.2735,1
89/A/NBP/2012,2012-05-09,3.2412,0.54
88/A/NBP/2012,2012-05-08,3.2238,-0.13
87/A/NBP/2012,2012-05-07,3.2279,1.22
86/A/NBP/2012,2012-05-04,3.1891,0.94
85/A/NBP/2012,2012-05-02,3.1593,0.27
84/A/NBP/2012,2012-04-30,3.1509,-0.5
83/A/NBP/2012,2012-04-27,3.1666,0.21
82/A/NBP/2012,2012-04-26,3.1599,-0.24
81/A/NBP/2012,2012-04-25,3.1675,-0.85
80/A/NBP/2012,2012-04-24,3.1946,-0.08
79/A/NBP/2012,2012-04-23,3.1972,0.45
78/A/NBP/2012,2012-04-20,3.1828,-0.16
77/A/NBP/2012,2012-04-19,3.1879,-0.07
76/A/NBP/2012,2012-04-18,3.1902,0.09
75/A/NBP/2012,2012-04-17,3.1872,-1.29
74/A/NBP/2012,2012-04-16,3.2289,1.65
73/A/NBP/2012,2012-04-13,3.1765,-0.17
72/A/NBP/2012,2012-04-12,3.1818,-0.67
71/A/NBP/2012,2012-04-11,3.2034,0.41
70/A/NBP/2012,2012-04-10,3.1904,0.28
69/A/NBP/2012,2012-04-06,3.1814,0.43
68/A/NBP/2012,2012-04-05,3.1678,0.56
67/A/NBP/2012,2012-04-04,3.1503,1.66
66/A/NBP/2012,2012-04-03,3.099,-0.09
65/A/NBP/2012,2012-04-02,3.1017,-0.56
64/A/NBP/2012,2012-03-30,3.1191,-0.14
63/A/NBP/2012,2012-03-29,3.1234,0.43
62/A/NBP/2012,2012-03-28,3.11,0.52
61/A/NBP/2012,2012-03-27,3.0939,-1.3
60/A/NBP/2012,2012-03-26,3.1348,-0.22
59/A/NBP/2012,2012-03-23,3.1417,-0.83
58/A/NBP/2012,2012-03-22,3.168,1.63
57/A/NBP/2012,2012-03-21,3.1173,-0.37
56/A/NBP/2012,2012-03-20,3.1288,-0.23
55/A/NBP/2012,2012-03-19,3.1361,-1.03
54/A/NBP/2012,2012-03-16,3.1688,-0.11
53/A/NBP/2012,2012-03-15,3.1723,0.08
52/A/NBP/2012,2012-03-14,3.1699,1.31
51/A/NBP/2012,2012-03-13,3.1288,0.01
50/A/NBP/2012,2012-03-12,3.1285,0.51
49/A/NBP/2012,2012-03-09,3.1126,-0.3
48/A/NBP/2012,2012-03-08,3.122,-1.3
47/A/NBP/2012,2012-03-07,3.1631,0.23
46/A/NBP/2012,2012-03-06,3.1557,0.64
45/A/NBP/2012,2012-03-05,3.1355,1.07
44/A/NBP/2012,2012-03-02,3.1023,0.44
43/A/NBP/2012,2012-03-01,3.0887,0.51
42/A/NBP/2012,2012-02-29,3.073,-0.8
41/A/NBP/2012,2012-02-28,3.0977,-0.64
40/A/NBP/2012,2012-02-27,3.1176,0.23
39/A/NBP/2012,2012-02-24,3.1103,-0.88
38/A/NBP/2012,2012-02-23,3.138,-0.81
37/A/NBP/2012,2012-02-22,3.1635,0.47
36/A/NBP/2012,2012-02-21,3.1488,-0.35
35/A/NBP/2012,2012-02-20,3.1598,-0.6
34/A/NBP/2012,2012-02-17,3.179,-2.19
33/A/NBP/2012,2012-02-16,3.2502,2.66
32/A/NBP/2012,2012-02-15,3.166,-0.44
31/A/NBP/2012,2012-02-14,3.1801,0.5
30/A/NBP/2012,2012-02-13,3.1643,-0.19
29/A/NBP/2012,2012-02-10,3.1703,0.69
28/A/NBP/2012,2012-02-09,3.1487,0.08
27/A/NBP/2012,2012-02-08,3.1461,-1.08
26/A/NBP/2012,2012-02-07,3.1806,-0.87
25/A/NBP/2012,2012-02-06,3.2084,0.74
24/A/NBP/2012,2012-02-03,3.1848,-0.33
23/A/NBP/2012,2012-02-02,3.1955,0.13
22/A/NBP/2012,2012-02-01,3.1913,-0.37
21/A/NBP/2012,2012-01-31,3.2032,-1.24
20/A/NBP/2012,2012-01-30,3.2433,0.84
19/A/NBP/2012,2012-01-27,3.2163,-0.22
18/A/NBP/2012,2012-01-26,3.2233,-2.29
17/A/NBP/2012,2012-01-25,3.299,0.06
16/A/NBP/2012,2012-01-24,3.297,-1.15
15/A/NBP/2012,2012-01-23,3.3353,-0.55
14/A/NBP/2012,2012-01-20,3.3537,-0.42
13/A/NBP/2012,2012-01-19,3.3678,-0.95
12/A/NBP/2012,2012-01-18,3.4,-0.63
11/A/NBP/2012,2012-01-17,3.4215,-1.68
10/A/NBP/2012,2012-01-16,3.4798,1.38
9/A/NBP/2012,2012-01-13,3.4323,-1.78
8/A/NBP/2012,2012-01-12,3.4945,0.07
7/A/NBP/2012,2012-01-11,3.4919,-0.47
6/A/NBP/2012,2012-01-10,3.5083,-0.19
5/A/NBP/2012,2012-01-09,3.515,0.2
4/A/NBP/2012,2012-01-05,3.5081,2.22
3/A/NBP/2012,2012-01-04,3.432,0.13
2/A/NBP/2012,2012-01-03,3.4277,-0.51
1/A/NBP/2012,2012-01-02,3.4454,0.82
252/A/NBP/2011,2011-12-30,3.4174,0.14
251/A/NBP/2011,2011-12-29,3.4126,1.54
250/A/NBP/2011,2011-12-28,3.3608,-0.53
249/A/NBP/2011,2011-12-27,3.3788,-0.57
248/A/NBP/2011,2011-12-23,3.398,0.14
247/A/NBP/2011,2011-12-22,3.3933,0.41
246/A/NBP/2011,2011-12-21,3.3793,-1.04
245/A/NBP/2011,2011-12-20,3.4148,-0.93
244/A/NBP/2011,2011-12-19,3.447,-0.34
243/A/NBP/2011,2011-12-16,3.4586,-1.37
242/A/NBP/2011,2011-12-15,3.5066,0.25
241/A/NBP/2011,2011-12-14,3.4977,1.13
240/A/NBP/2011,2011-12-13,3.4587,1.38
239/A/NBP/2011,2011-12-12,3.4117,0.71
238/A/NBP/2011,2011-12-09,3.3875,1.55
237/A/NBP/2011,2011-12-08,3.3359,0.15
236/A/NBP/2011,2011-12-07,3.331,-0.36
235/A/NBP/2011,2011-12-06,3.3429,0.46
234/A/NBP/2011,2011-12-05,3.3276,0.12
233/A/NBP/2011,2011-12-02,3.3235,-0.49
232/A/NBP/2011,2011-12-01,3.34,-2.48
231/A/NBP/2011,2011-11-30,3.4248,0.96
230/A/NBP/2011,2011-11-29,3.3924,0.65
229/A/NBP/2011,2011-11-28,3.3705,-0.87
228/A/NBP/2011,2011-11-25,3.4001,1.54
227/A/NBP/2011,2011-11-24,3.3486,0.89
226/A/NBP/2011,2011-11-23,3.3191,0.95
225/A/NBP/2011,2011-11-22,3.288,-0.32
224/A/NBP/2011,2011-11-21,3.2984,0.81
223/A/NBP/2011,2011-11-18,3.2718,-0.75
222/A/NBP/2011,2011-11-17,3.2965,1.05
221/A/NBP/2011,2011-11-16,3.2621,0.29
