Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2011-06-29,1502.15,1513.12,1500.4,1511.65
2011-06-30,1512,1514.33,1498.78,1500.6
2011-07-01,1501.6,1502.72,1478.35,1487.75
2011-07-04,1486.82,1496.75,1486.34,1496.54
2011-07-05,1496.05,1516.7,1493.38,1516.17
2011-07-06,1516.01,1533.89,1510.34,1529.42
2011-07-07,1529.07,1534.69,1522.95,1532.42
2011-07-08,1532.35,1545.52,1525.16,1544.2
2011-07-11,1545.87,1556.97,1541.96,1554.1
2011-07-12,1554.45,1573.31,1540.83,1567.22
2011-07-13,1567.4,1587.98,1564.5,1582.7
2011-07-14,1585.41,1594.25,1578.8,1587.42
2011-07-15,1587.09,1593.87,1576.11,1593.75
2011-07-18,1593.93,1607.55,1591.62,1605.4
2011-07-19,1605.37,1610.2,1582.69,1588.87
2011-07-20,1587.8,1602.27,1581.2,1602.12
2011-07-21,1601.62,1604.47,1585.1,1590.1
2011-07-22,1589.35,1607,1584.4,1601.25
2011-07-25,1608.47,1624.31,1603.8,1614.9
2011-07-26,1614.75,1620.45,1607.99,1619.3
2011-07-27,1619.62,1628.6,1609.17,1613.95
2011-07-28,1614.1,1620.27,1603.3,1617.02
2011-07-29,1615.6,1632.65,1610.6,1624.85
2011-08-01,1610.15,1632.01,1609,1620.2
2011-08-02,1620,1661.4,1616.55,1660.05
2011-08-03,1660.54,1672.92,1652.13,1661.4
2011-08-04,1660.87,1681.9,1640.72,1649.05
2011-08-05,1647.16,1670.27,1641.9,1661.05
2011-08-08,1689.95,1720.25,1682.55,1717.35
2011-08-09,1717.31,1779.55,1715.25,1744.15
2011-08-10,1745.6,1797.27,1737.74,1795.05
2011-08-11,1794.97,1814.99,1732.44,1767.82
2011-08-12,1764.55,1768.27,1723.78,1746.6
2011-08-15,1745,1766.49,1728.63,1765.7
2011-08-16,1765.63,1787.3,1761.32,1786.6
2011-08-17,1786.36,1794.85,1779.32,1788.65
2011-08-18,1789.26,1828.64,1784.13,1824.6
2011-08-19,1824.53,1877.51,1821.87,1852.05
2011-08-22,1861.15,1901.1,1856.02,1898.17
2011-08-23,1898.44,1912.14,1823.57,1830.82
2011-08-24,1829.83,1853.95,1750.04,1751.27
2011-08-25,1751.16,1775.4,1703.27,1772.15
2011-08-26,1772.92,1828.37,1757.56,1828.2
2011-08-29,1837.95,1839.01,1776.33,1788.42
2011-08-30,1789.02,1840.21,1783.3,1835.52
2011-08-31,1835.69,1839.5,1811.5,1825.34
2011-09-01,1824.52,1830.7,1813.36,1825.17
2011-09-02,1825.16,1884.53,1824.43,1882.85
2011-09-05,1878.05,1903.47,1874.43,1901.34
2011-09-06,1901.98,1921.07,1857.73,1873.17
2011-09-07,1872.74,1880.43,1793.12,1817.27
2011-09-08,1817.72,1870.77,1814.09,1869.24
2011-09-09,1870.14,1886.25,1825.37,1856.5
2011-09-12,1856.85,1862.33,1801.58,1814.33
2011-09-13,1814.63,1844.35,1796.1,1834.06
2011-09-14,1834.61,1845.2,1808.86,1820.81
2011-09-15,1821.36,1826.68,1772.86,1789.61
2011-09-16,1787.81,1821.39,1762.76,1811.41
2011-09-19,1817.96,1827.11,1770.69,1778.68
2011-09-20,1777.98,1811.44,1769.76,1803.52
2011-09-21,1803.57,1816.66,1778.62,1780.26
2011-09-22,1779.72,1786.31,1720.9,1736.28
2011-09-23,1737.25,1755.09,1628.69,1644.1
2011-09-26,1657.07,1663.4,1533.19,1628.13
2011-09-27,1626.22,1677.13,1615.23,1649.58
2011-09-28,1650.11,1669.56,1598.74,1608.66
2011-09-29,1607.36,1635.18,1583.24,1615.16
2011-09-30,1616.66,1640.55,1606.86,1623.83
2011-10-03,1620.28,1664.53,1620.03,1660.93
2011-10-04,1660.78,1678.43,1595.76,1624.63
2011-10-05,1625.38,1646.96,1597.91,1642.43
2011-10-06,1640.88,1655.2,1631.87,1650.38
2011-10-07,1651.41,1666.23,1625.93,1638.16
2011-10-10,1639.51,1678.03,1638.34,1675.93
2011-10-11,1676.39,1684.73,1654.03,1663.13
2011-10-12,1663.08,1691.98,1656,1674.58
2011-10-13,1675.63,1684.38,1652.89,1662.71
2011-10-14,1667.01,1683.64,1661.04,1680.83
2011-10-17,1682.96,1695.08,1665.57,1670.53
2011-10-18,1670.68,1676.63,1626.89,1655.05
2011-10-19,1655.95,1665.18,1639.61,1649.56
2011-10-20,1643.92,1644.96,1603.32,1620.8
2011-10-21,1620.03,1648.44,1611.48,1641.67
2011-10-24,1642.16,1661.89,1635.69,1653.04
2011-10-25,1653.44,1708.93,1644.17,1705.18
2011-10-26,1705.43,1726.82,1695.23,1717.63
2011-10-27,1725.59,1750,1706.3,1745.44
2011-10-28,1744.47,1752.59,1732.46,1743.3
2011-10-31,1743.17,1745.11,1704.92,1709.82
2011-11-01,1710.7,1724.47,1681.39,1717.98
2011-11-02,1715.14,1744.35,1714.73,1738.39
2011-11-03,1739.14,1768.08,1722.8,1760.75
2011-11-04,1760.85,1763.96,1748.93,1754.84
2011-11-07,1753.86,1798.53,1753.23,1795.43
2011-11-08,1794.63,1803.1,1776.92,1785.79
2011-11-09,1785.6,1799.8,1764.03,1769.3
2011-11-10,1769.84,1775.6,1736.05,1758.62
2011-11-11,1758.6,1789.31,1744.28,1788.36
2011-11-14,1788.76,1796.12,1773.68,1780.04
2011-11-15,1780.48,1785.98,1760.4,1780.89
2011-11-16,1781.23,1783.64,1753.48,1762.42
2011-11-17,1763.75,1766.94,1710.62,1720.7
2011-11-18,1722.85,1737.62,1711.02,1724
2011-11-21,1723.35,1726.53,1666.8,1677.06
2011-11-22,1677.58,1705.63,1667.69,1698.88
2011-11-23,1699.73,1710.15,1677.36,1692.32
2011-11-24,1692.68,1702.01,1687.98,1695.09
2011-11-25,1693.94,1698.08,1671.95,1680.46
2011-11-28,1680.58,1720.68,1680.58,1711.71
2011-11-29,1711.14,1720.15,1703.84,1715.65
2011-11-30,1717.41,1750,1700.78,1749.34
2011-12-01,1748.75,1754.15,1733.58,1745.38
2011-12-02,1744.95,1762.55,1738.09,1746.65
2011-12-05,1747.45,1755.01,1717.93,1722.03
2011-12-06,1722.83,1733.13,1702.18,1729.29
2011-12-07,1728.82,1742.82,1720.44,1742.78
2011-12-08,1742.71,1755.98,1704.29,1707.38
2011-12-09,1705.37,1724.18,1703.59,1711.41
2011-12-12,1712.69,1714.93,1657.63,1666.33
2011-12-13,1664.61,1678.07,1622.67,1631.66
2011-12-14,1628.76,1641.49,1564.27,1576.28
2011-12-15,1578.91,1594.08,1560.55,1570.58
2011-12-16,1571.24,1601.23,1571.2,1598.98
2011-12-19,1601.25,1608.61,1583.5,1594.57
2011-12-20,1593.81,1618.51,1588.6,1615.15
2011-12-21,1615.25,1641.89,1606.28,1615.08
2011-12-22,1615.41,1616.92,1598.21,1606.03
2011-12-23,1605.82,1613.95,1602.89,1606.91
2011-12-27,1607.41,1607.41,1589.75,1592.43
2011-12-28,1592.79,1593.1,1549.84,1556.58
2011-12-29,1556.53,1561.41,1522.86,1545.33
2011-12-30,1546.17,1581.53,1545.93,1564.81
2012-01-03,1569.36,1607.47,1567.14,1603.88
2012-01-04,1603.96,1618.7,1592.8,1611.73
2012-01-05,1612.73,1625.85,1596.86,1621.43
2012-01-06,1621.75,1630.84,1608.8,1617.55
2012-01-09,1617.18,1623.85,1605.39,1610.88
2012-01-10,1611.09,1640.25,1608.65,1632.33
2012-01-11,1631.56,1647.28,1630.4,1643.13
2012-01-12,1642.33,1662.09,1640.37,1648.68
2012-01-13,1648.95,1649.69,1625.54,1639.48
2012-01-16,1635.31,1647.07,1631.77,1643.63
2012-01-17,1643.4,1667.66,1641.92,1651.83
2012-01-18,1651.66,1662.52,1642.94,1659.48
2012-01-19,1660.12,1670.2,1649.26,1656.73
2012-01-20,1657.44,1666.9,1645.13,1666.58
2012-01-23,1665.09,1681.56,1662.73,1676.43
2012-01-24,1676.11,1679.73,1661.56,1665.36
2012-01-25,1666.09,1713.07,1649.22,1710.68
2012-01-26,1710.99,1730.61,1703.36,1720.83
2012-01-27,1720.35,1739.65,1714.53,1739.26
2012-01-30,1736.79,1739.98,1716.55,1731.03
2012-01-31,1731.7,1747.5,1726.71,1737.23
2012-02-01,1737.12,1750.98,1733.02,1744.93
2012-02-02,1744.44,1761.25,1741.42,1758.68
2012-02-03,1759.31,1763.3,1723.85,1726.18
2012-02-06,1728.34,1738.19,1711.93,1719.93
2012-02-07,1720.22,1749.97,1710.3,1745.48
2012-02-08,1744.52,1752.24,1724.95,1734.93
2012-02-09,1732.61,1752.18,1725.91,1730.96
2012-02-10,1729.19,1734.79,1704.67,1721.72
2012-02-13,1725.08,1733.46,1716.27,1721.91
2012-02-14,1721.52,1727.72,1712.23,1720.16
2012-02-15,1721.17,1737.36,1718.74,1728.08
2012-02-16,1728.38,1729.95,1705.67,1728.01
2012-02-17,1728.03,1735.9,1717.36,1723.23
2012-02-20,1726.71,1736.97,1726.63,1734.28
2012-02-21,1734.93,1759.97,1731.12,1759.69
2012-02-22,1759.88,1781.87,1749.45,1776.46
2012-02-23,1777,1787.46,1772.29,1779.18
2012-02-24,1778.66,1782.96,1770.75,1772.31
2012-02-27,1775.01,1779.48,1761.92,1767.99
2012-02-28,1768.2,1790.15,1765.92,1784.11
2012-02-29,1784.51,1790.71,1688.75,1695.47
2012-03-01,1695,1726,1694.76,1718.33
2012-03-02,1718.46,1724.33,1705.59,1712.46
2012-03-05,1712.58,1716.79,1694.09,1706.99
2012-03-06,1706.28,1709.03,1663.68,1674.33
2012-03-07,1674.68,1688.04,1671.4,1684.88
2012-03-08,1685.08,1704.02,1683.7,1699.46
2012-03-09,1700,1715.22,1676.85,1713.98
2012-03-12,1714.07,1714.35,1692.96,1702.11
2012-03-13,1699.84,1705.76,1662.69,1674.88
2012-03-14,1676.79,1682.41,1634.68,1643.41
2012-03-15,1643.6,1666.59,1636.26,1657.54
2012-03-16,1656.06,1664.83,1639.84,1659.91
2012-03-19,1658.77,1669.86,1652.72,1664.41
2012-03-20,1662.28,1664.82,1641.99,1650.38
2012-03-21,1648.76,1661.73,1646.74,1649.77
2012-03-22,1649.9,1656.43,1628.22,1645.75
2012-03-23,1644.6,1666.4,1642.33,1661.92
2012-03-26,1662.86,1693.63,1655.66,1690.33
2012-03-27,1690.31,1697.1,1679.68,1680.96
2012-03-28,1680.18,1684.56,1654.76,1663.46
2012-03-29,1663,1665.03,1645.23,1661.33
2012-03-30,1661.31,1671.01,1660.08,1668.28
2012-04-02,1670.22,1683.7,1663.01,1677.55
2012-04-03,1676.62,1681.08,1639.33,1646.55
2012-04-04,1645.29,1648.13,1612.53,1620.74
2012-04-05,1620.42,1633.54,1620.08,1631.23
2012-04-09,1643.31,1648.88,1635.64,1640.42
2012-04-10,1641.34,1663.3,1632.04,1659.57
2012-04-11,1659.45,1662.63,1653.27,1659.39
2012-04-12,1659.24,1680.23,1650.76,1675.07
2012-04-13,1675.37,1678.01,1649.61,1658.41
2012-04-16,1655.93,1657.84,1641.47,1652.95
2012-04-17,1652.69,1657.51,1634.67,1650.17
2012-04-18,1650.21,1654.4,1637.99,1642.17
2012-04-19,1642,1653.97,1631.48,1642.76
2012-04-20,1642.68,1647.27,1638.71,1642.97
2012-04-23,1642.15,1643.39,1623.58,1638.43
2012-04-24,1638.67,1649.21,1634.15,1641.58
2012-04-25,1640.93,1646.39,1625.12,1644.13
2012-04-26,1644.34,1660.89,1641.7,1654.9
2012-04-27,1655.5,1666.6,1650.5,1662.3
2012-04-30,1663.7,1665.8,1647.6,1663.7
2012-05-01,1665.2,1670.8,1657.3,1660.4
2012-05-02,1662.2,1662.6,1646.9,1651.6
2012-05-03,1651.9,1652.9,1631.3,1635.5
2012-05-04,1635.6,1646.9,1626.9,1641.8
2012-05-07,1638.3,1642.1,1633.2,1636.3
2012-05-08,1638.17,1638.53,1595.14,1605.32
2012-05-09,1604.92,1605.08,1579.98,1589.58
2012-05-10,1589.88,1601.35,1585.47,1594.38
2012-05-11,1593.9,1594.11,1573.47,1578.93
2012-05-14,1581.24,1585.26,1555.81,1556.67
2012-05-15,1558.82,1563.36,1541.17,1544.03
2012-05-16,1544.71,1551.39,1526.63,1539.09
2012-05-17,1540.1,1579.38,1540.09,1574.19
2012-05-18,1573.8,1597.02,1567.59,1592.44
2012-05-21,1592.57,1598.77,1584.6,1593.1
2012-05-22,1593.75,1594.09,1561.23,1567.57
2012-05-23,1567.21,1567.35,1533.45,1561.46
2012-05-24,1560.34,1577.53,1551.53,1557.57
2012-05-25,1555.96,1573.49,1551.11,1572.82
2012-05-28,1574.91,1583.45,1571.07,1573.9
2012-05-29,1577.95,1582.11,1547.87,1554.58
2012-05-30,1553.99,1569.05,1533.45,1561.8
2012-05-31,1562.1,1571.85,1552.45,1558.7
2012-06-01,1559.85,1628.58,1544.81,1621.81
2012-06-04,1619.61,1626.38,1607.29,1616.47
2012-06-05,1618.35,1621.93,1610.77,1615.34
2012-06-06,1617,1639.2,1612.05,1618.89
2012-06-07,1620.67,1627.05,1577.71,1587.31
2012-06-08,1588.35,1593.52,1556.89,1592.08
2012-06-11,1598.52,1603.48,1580.59,1594.72
2012-06-12,1589.92,1615.91,1584.84,1608.35
2012-06-13,1609.84,1622.61,1604.33,1616.55
2012-06-14,1616.66,1626.41,1609.19,1621.51
2012-06-15,1619.95,1631.79,1618.35,1624.69
2012-06-18,1614.34,1628.93,1613.06,1626.72
2012-06-19,1626.43,1631.53,1615.51,1616.71
2012-06-20,1618.1,1621.1,1589.15,1604.22
2012-06-21,1601.83,1603.27,1562.49,1563.27
2012-06-22,1566.32,1571.9,1556.74,1571.8
2012-06-25,1566.72,1586.61,1564.87,1583.12
2012-06-26,1583.03,1585.17,1566.54,1570.44
2012-06-27,1569.69,1580.46,1561.09,1572.62
2012-06-28,1572.61,1577.37,1546.56,1550.3
2012-06-29,1550.5,1605.41,1549.4,1596.95
